D,L,O,SC,MP,SE,MO,SW,ST,SQ
5,3,8,0,1,0,4.5,0,5000,1
7,4,11,0,1,0,4.5,0,5000,2
5,4,15,0,0,0,4.5,0,30000,1
5,4,14,0,0,0,4.5,0,5000,1
5,6,8,1,2,0,4.5,0,14080,1
6,1,10,0,0,0,4.5,0,5000,2
6,3,14,0,1,0,4.5,0,5000,2
5,3,14,1,1,0,4.5,16,5000,1
5,3,15,1,0,0,4.5,0,5000,1
5,5,11,0,2,0,4.5,10,5000,1
6,3,5,0,1,1,4.5,0,5000,2
4,5,13,0,2,0,4,10,5000,1
5,4,15,0,0,0,4.5,0,5000,1
6,2,8,0,0,0,4.5,0,5000,1
6,1,0,0,0,0,4.5,0,5000,2
5,3,0,0,0,0,4.5,0,5000,2
7,2,0,0,0,0,4.5,0,5000,2
5,4,0,0,0,0,4,0,5000,1
5,4,0,0,0,0,4.5,0,5000,1
5,4,0,0,0,0,4.5,0,5000,1
5,4,0,0,0,0,4.5,0,5000,1
5,4,0,0,0,0,4.5,0,5000,1
5,4,0,0,0,0,4.5,0,5000,1
5,4,0,0,0,0,5,0,5000,1
4,4,7,0,0,0,5,0,5000,0
6,2,15,0,0,0,4.5,0,5000,2
6,3,12,0,0,0,4.5,11,5000,1
5,4,15,1,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,11,5000,1
6,3,9,0,0,1,4,0,5000,1
4,5,10,0,2,0,4.5,0,14080,1
5,3,13,0,0,0,4.5,0,5000,1
5,5,13,0,1,0,4.5,0,5000,1
7,2,11,0,0,2,4.5,0,5000,2
5,3,14,0,1,0,4.5,15,5000,1
6,2,14,0,0,0,4.5,13,5000,2
6,2,15,0,0,0,4.5,0,5000,2
5,3,3,0,0,1,4.5,0,28000,1
4,5,11,1,1,1,4.5,0,5000,1
6,4,13,0,0,0,4.5,11,5000,2
6,2,16,5,2,0,4.5,0,5000,2
6,2,15,1,2,0,4,15,5000,2
4,4,13,2,0,0,3.5,0,5000,1
5,3,15,3,1,0,4,12,5000,1
4,4,10,0,0,0,4.5,0,21120,1
6,3,10,0,2,0,4.5,0,5000,2
4,4,14,0,0,0,4.5,11,5000,1
6,3,15,3,2,0,4.5,5,5000,2
4,4,14,1,1,0,4.5,8,5000,1
5,3,15,0,0,0,4.5,0,5000,2
5,3,15,0,0,1,4,0,5000,2
5,3,14,0,2,0,4.5,0,5000,2
5,3,12,0,0,0,4.5,0,5000,1
5,4,14,5,0,0,4.5,10,5000,1
4,4,14,5,0,0,4.5,0,5000,1
5,3,12,5,0,0,4.5,0,5000,2
4,4,13,0,0,2,4.5,6,5000,1
5,4,13,0,0,1,4.5,0,21120,0
5,5,6,0,1,1,4.5,0,5000,1
5,3,9,0,1,0,4.5,0,5000,1
5,3,15,0,1,0,4.5,0,5000,1
5,3,15,0,1,0,4.5,12,5000,1
5,3,14,5,0,2,4.5,0,5000,1
5,4,13,0,0,0,4,0,5000,1
5,3,16,0,0,0,4.5,0,5000,1
4,7,10,0,3,1,4.5,9,5000,0
6,4,10,0,1,0,4.5,0,5000,2
6,2,15,0,1,0,4,5,5000,1
5,4,13,0,0,0,4.5,13,5000,1
3,5,16,0,0,0,4.5,0,5000,0
5,3,15,0,0,0,4,0,5000,1
5,3,12,0,0,1,4,0,5000,1
6,7,9,0,2,0.5,3.5,0,5000,1
5,3,9,0,1,0,4,0,5000,1
6,2,15,0,1,0,4.5,8,5000,1
5,3,15,6,0,0,4.5,7,5000,1
6,2,14,0,0,0,4.5,7,5000,1
6,2,12,0,0,0,4,7,5000,1
5,3,15,0,0,0,4,5,5000,1
7,3,7,0,0,1,4.5,0,5000,2
6,5,4,0,0,0,4.5,0,21120,2
5,4,13,0,2,0,4.5,5,5000,1
6,3,12,0,1,0,4.5,0,5000,2
4,7,12,0,1,0,4.5,0,5000,0
6,4,14,0,1,0,4.5,0,5000,1
6,3,15,0,1,0,4.5,0,5000,1
6,5,13,0,1,0,4.5,0,5000,2
7,2,15,0,1,0,4,0,5000,2
5,4,14,0,1,0,4,0,5000,1
6,3,14,0,1,0,4.5,0,5000,2
6,3,14,0,1,0,4.5,5,5000,2
5,4,14,0,1,0,4.5,5,5000,1
4,4,5,0,0,0,4.5,0,5000,1
6,2,0,0,0,0,4.5,0,5000,2
5,3,0,0,0,0,4,0,5000,1
5,3,14,0,2,0,4.5,0,5000,1
6,4,13,0,2,0,4.5,0,5000,1
5,3,13,0,1,0,4.5,0,5000,1
6,3,13,0,0,0,4.5,0,5000,2
6,2,12,0,0,0,4.5,0,5000,1
3,9,7,0,0,1,4.5,7,5000,0
5,4,4,0,0,2,4.5,0,28000,1
5,3,14,0,1,0,4.5,9,5000,1
5,3,15,3,1,0,4.5,0,5000,1
5,2,16,0,1,0,4.5,0,5000,1
5,3,14,0,2,0,4.5,0,5000,1
5,2,16,0,0,0,4.5,0,5000,1
5,2,8,0,2,1,4.5,0,5000,1
6,3,8,0,1,0,4.5,0,5000,1
7,1,14,1,1,0,4,5,5000,2
6,2,14,0,0,0,4.5,5,5000,2
5,4,12,2,0,0,4.5,0,5000,1
6,4,12,0,0,0,4.5,5,5000,1
5,4,11,0,0,2,4.5,0,5000,1
5,3,8,0,0,2,4.5,4,5000,1
6,5,9,1,1,1,4.5,0,5000,1
5,3,11,1,0,0,4.5,0,5000,2
3,6,15,0,2,0,4.5,0,5000,0
6,2,13,0,3,0,4.5,0,5000,2
7,1,15,0,0,0,4.5,0,5000,2
6,4,13,0,0,0,4.5,0,5000,1
